full_name,forks,open_issues,watchers,size,has_wiki,has_pages,stars
chinese-poetry/chinese-poetry,10373,136,1146,227210,1,1,51461
jekyll/jekyll,10289,252,1399,70973,1,1,51422
dockur/windows,4305,103,237,1414,0,0,51390
DefinitelyTyped/DefinitelyTyped,30504,680,633,830856,0,0,51242
Semantic-Org/Semantic-UI,4876,1071,1272,113201,1,0,51096
jesseduffield/lazydocker,1612,274,279,30218,0,0,51053
Avik-Jain/100-Days-Of-ML-Code,11562,67,2432,10955,1,1,51047
ethereum/go-ethereum,21917,400,2196,236069,1,1,51047
lyswhut/lx-music-desktop,6813,1166,376,85153,0,0,51024
justjavac/awesome-wechat-weapp,9015,2,1920,827,0,0,50962
charlax/professional-programming,3973,1,1004,4766,1,0,50847
OpenCut-app/OpenCut,5487,311,219,27354,1,0,50808
odoo/odoo,32424,9738,1528,15806351,1,0,50727
poteto/hiring-without-whiteboards,3884,38,909,3371,0,0,50621
earendil-works/pi,5998,36,190,44244,1,0,50578
D4Vinci/Scrapling,4790,4,201,8236,1,0,50541
freqtrade/freqtrade,10521,33,736,739070,1,1,50430
dkhamsing/open-source-ios-apps,5775,5,1420,31896,1,0,50309
datawhalechina/hello-agents,6066,116,162,202385,1,1,50278
jgthms/bulma,3896,521,571,116388,1,1,50078
dbeaver/dbeaver,4182,3331,538,213758,1,1,50077
jingyaogong/minimind,6363,35,241,38340,1,1,50019
mastodon/mastodon,7439,4454,710,380357,0,0,49953
ggml-org/whisper.cpp,5542,1196,372,36913,1,1,49781
NanmiCoder/MediaCrawler,10530,160,220,28860,1,1,49715
nlohmann/json,7394,72,753,247931,0,1,49708
cypress-io/cypress,3398,1204,580,552757,0,1,49643
NARKOZ/hacker-scripts,6644,70,2042,105,0,0,49497
expo/expo,12286,618,370,3673293,1,0,49489
AlistGo/alist,7941,564,214,6436,1,0,49484
run-llama/llama_index,7419,384,275,458329,0,0,49461
TanStack/query,3823,181,214,109233,0,0,49443
huginn/huginn,4264,695,737,9458,1,0,49278
makeplane/plane,4274,826,159,285639,1,0,49274
rtk-ai/rtk,2989,935,120,3297,1,0,49097
VoltAgent/awesome-openclaw-skills,4781,1,305,1989,0,0,48828
pandas-dev/pandas,19960,3267,1113,393801,0,0,48778
tw93/Pake,9843,0,237,64118,0,0,48752
JuliaLang/julia,5775,4691,898,367228,0,0,48710
safishamsi/graphify,5283,256,187,2248,1,0,48650
iamkun/dayjs,2426,1228,272,5984,1,1,48643
serhii-londar/open-source-mac-os-apps,2563,76,961,5804,1,1,48608
1c7/chinese-independent-developer,4163,1,1304,5080,0,1,48568
Fission-AI/OpenSpec,3404,330,229,4002,0,0,48565
skylot/jadx,5515,421,812,25533,1,0,48551
algorithm-visualizer/algorithm-visualizer,7588,79,1203,21182,1,0,48550
lllyasviel/Fooocus,7894,296,409,34158,0,0,48501
hashicorp/terraform,10351,1897,1126,354075,0,0,48410
x64dbg/x64dbg,2737,572,2671,64767,1,0,48398
kelseyhightower/kubernetes-the-hard-way,15656,49,938,711,1,0,48319
ReactiveX/RxJava,7587,20,2151,162990,1,1,48255
jakevdp/PythonDataScienceHandbook,18943,231,1813,43642,1,1,48110
type-challenges/type-challenges,5255,33182,154,3344,0,0,48095
Homebrew/brew,11123,14,733,112569,0,1,48045
bigskysoftware/htmx,1596,657,209,325159,0,0,48012
moment/moment,6996,298,826,22191,0,0,47981
akullpp/awesome-java,7674,10,2157,2664,1,0,47947
nilbuild/design-patterns-for-humans,5507,16,1195,149,1,0,47821
penpot/penpot,2985,698,254,365380,0,0,47741
GokuMohandas/Made-With-ML,7524,25,1266,3447,1,0,47671
karan/Projects,10639,117,1764,1790,0,0,47663
minimaxir/big-list-of-naughty-strings,2161,108,837,330,1,0,47631
microsoft/AI-For-Beginners,9844,4,504,1416835,1,1,47597
brillout/awesome-react-components,3769,49,735,1367,1,0,47577
astral-sh/ruff,2096,1991,102,140036,0,0,47552
gogs/gogs,5064,994,1014,210749,0,0,47520
